ID,NAME,RATING,PHONENUMBER,NO_OF_REVIEWS,ADDRESS
1445980001283,Cou$!&$ Sub$ ,,(608) 395-3222,0,"3306A U&!v3r$!ty Av3, M@d!$o&, WI 53705"
1445980001284,Cou$!&$ Sub$ ,3.0,(608) 827-0440,3,"8430 Old S@uk Rd, M@d!$o&, WI 53562"
1445980001285,Cou$!&$ Sub$ ,4.5,(608) 222-7900,3,"5413 Mo&o&@ Dr, Mo&o&@, WI 53716"
1445980001286,Cou$!&$ Sub$ ,3.0,(608) 291-0900,1,"990 J@&3$v!ll3 St, Or39o&, WI 53575"
1445980001287,Cov3ll ,4.5,(323) 660-4400,330,"4628 Hollywood Blvd, Lo$ A&93l3$, CA 90027"
1445980001288,Cov3r@ll M@d!$o& ,,(608) 567-4571,0,"5609 M3d!c@l C!rcl3, M@d!$o&, WI 53719"
1445980001289,Cow & Clov3r ,4.0,(718) 782-8810,76,"291 K3&t Av3, Brookly&, NY 11249"
1445980001290,Cow@&�۪$ Publ!c ,4.5,(973) 542-8151,59,"229 C3&tr3 St, Nutl3y, NJ 07110"
1445980001291,Cr@b Hou$3 At P!3r 39 ,3.5,(415) 434-2722,1562,"203 C P!3r 39, S@& Fr@&c!$co, CA 94133"
1445980001292,Cr@ck3r B@rr3l Old Cou&try Stor3 ,2.5,(608) 242-0560,22,"2147 E Spr!&9$ Dr, M@d!$o&, WI 53704"
1445980001293,Cr@ft ,4.0,(310) 279-4180,1369,"10100 Co&$t3ll@t!o& Blvd, Lo$ A&93l3$, CA 90067"
1445980001294,Cr@ft$m@& @&d Wolv3$ ,4.0,(415) 913-7713,845,"746 V@l3&c!@ St, S@& Fr@&c!$co, CA 94110"
1445980001295,Cr@ft$m@& T@bl3 & T@p ,3.5,(608) 836-3988,114,"6712 Fr@&k Lloyd Wr!9ht Av3, M!ddl3to&, WI 53562"
1445980001296,Cr@&b3rry Cr33k C@t3r!&9 & C@f3 ,4.0,(608) 222-4803,15,"1501 L@k3 Po!&t Dr, M@d!$o&, WI 53713"
1445980001297,Cr@&b3rry Cr33k T@k3,5.0,(608) 283-4202,2,"114 E M@!& St, M@d!$o&, WI 53703"
1445980001298,Cr@v3 ,3.5,(718) 726-4976,240,"28-55 36th St, A$tor!@, NY 11103"
1445980001299,Cr@v3 C@f3 ,4.0,(818) 763-9000,896,"11992 V3&tur@ Blvd, Stud!o C!ty, CA 91604"
1445980001300,Cr@zy Cr@b�۪z ,4.0,1445980000000,177,"24 W!ll!3 M@y$ Plz, S@& Fr@&c!$co, CA 94107"
1445980001301,Cr3@t!v3 H@!r Sp@ ,4.0,(718) 788-8796,66,"326 9th St, Brookly&, NY 11215"
1445980001302,Cr3@t!v3 L3@r&!&9 Pr3$chool ,,(608) 258-9811,0,"105 S Butl3r St, M@d!$o&, WI 53703"
1445980001303,Cr3@t!v3 R3@l E$t@t3 S3rv!c3$ I&c ,5.0,(608) 271-5202,1,"4269 W B3ltl!&3 Hwy, M@d!$o&, WI 53711"
1445980001304,Cr3m@ BK ,5.0,(347) 457-5363,41,"182 Dr!99$ Av3, Brookly&, NY 11222"
1445980001305,Cr3m@ C@f3 ,4.0,(608) 224-1150,127,"4124 Mo&o&@ Dr, M@d!$o&, WI 53716"
1445980001306,Cr3m@$ Art!$@& Fl@vor$ ,4.5,(201) 820-4064,48,"4301 P@rk Av3, U&!o& C!ty, NJ 07087"
1445980001307,Cr3m3 d3 l@ Cr3m3 ,4.5,(630) 968-2500,7,"4710 -4 M@!& St, L!$l3, IL 60532"
1445980001308,Cr3m3 d3 l@ Cr3p3 B!$tro ,3.5,(310) 391-8818,309,"6000 S3pulv3d@ Blvd, Culv3r C!ty, CA 90230"
1445980001309,Cr3p3,4.5,(415) 513-9252,35,"685 H@rr!$o& St, S@& Fr@&c!$co, CA 94107"
1445980001310,Cr3p3 K!tch3& ,4.5,(323) 933-3403,80,"5223 W!l$h!r3 Blvd, Lo$ A&93l3$, CA 90036"
1445980001311,Cr3p3r!3 L3 T3rr@c3 ,4.5,(323) 766-5315,65,"1102 S W3$t3r& Av3, Lo$ A&93l3$, CA 90006"
1445980001312,Cr3p3$ & W@ffl3$ ,3.0,1445980000000,1,"34th St & Bro@dw@y, N3w York, NY 10120"
1445980001313,Cr3p3$ A Go Go ,4.5,(415) 503-1294,498,"350 11th St, S@& Fr@&c!$co, CA 94103"
1445980001314,Cr3p3$ o& Columbu$ ,3.5,(212) 222-0259,394,"990 Columbu$ Av3, N3w York, NY 10025"
1445980001315,Cr3p3v!&3 ,4.0,(415) 681-5858,1218,"624 Irv!&9 St, S@& Fr@&c!$co, CA 94122"
1445980001316,Cr3$c3&t Gr!ll ,4.5,(718) 729-4040,149,"38-40 Cr3$c3&t St, Lo&9 I$l@&d C!ty, NY 11101"
1445980001317,Cr!$p ,4.5,(773) 697-7610,1779,"2940 N Bro@dw@y Av3, Ch!c@9o, IL 60657"
1445980001318,Cr!$t3& W.'$ r3v!3w of Buch@&@& Arm$ R3$t@ur@&t & Pu,4.0,(818) 845-0692,148,"2013 W Burb@&k Blvd, Burb@&k, CA 91506"
1445980001319,Cro$by�۪$ K!tch3& ,4.0,(773) 883-2525,369,"3455 N Southport Av3, Ch!c@9o, IL 60657"
1445980001320,Cro$$ro@d$ C@f3 ,,(608) 262-5038,0,"1000 B@$com M@ll, M@d!$o&, WI 53706"
1445980001321,Cro$$ro@d$ C@f3 ,4.0,(415) 512-5111,715,"699 D3l@&c3y St, S@& Fr@&c!$co, CA 94107"
1445980001322,Cro$$ro@d$ Tr@d!&9 Co. ,3.5,(773) 227-5300,108,"1519 N M!lw@uk33 Av3, Ch!c@9o, IL 60622"
1445980001323,Cro$t!&! S@&dw!ch3$ ,4.0,(608) 241-4284,38,"231 North St, M@d!$o&, WI 53704"
1445980001324,Cr̻p3r!3 ,,1445980000000,0,"88 H@rd!3 Pl, S@& Fr@&c!$co, CA 94108"
1445980001325,Cry$t@l J@d3 J!@&9 N@& ,3.0,(415) 399-1200,356,"4 Emb@rc@d3ro Ctr, S@& Fr@&c!$co, CA 94111"
1445980001326,CRﾀﾻO B@r @&d R3$t@ur@&t ,4.5,(773) 525-2100,139,"2506 N Clybour& Av3, Ch!c@9o, IL 60614"
1445980001327,CTA ,4.0,1445980000000,6,"230 S St@t3 St, Ch!c@9o, IL 60604"
1445980001328,CTI S@t3ll!t3,1.0,(866) 982-8514,2,"637 S M@!& St, D3 For3$t, WI 53532"
1445980001329,Cub@ ,4.0,(212) 420-7878,956,"222 Thomp$o& St, N3w York, NY 10012"
1445980001330,Cub@ 312 ,4.5,(773) 281-2822,60,"2054 W Ro$co3 St., Ch!c@9o, IL 60618"
1445980001331,Cuc!&@ P@r@d!$o ,4.0,(708) 848-3434,221,"814 North Blvd, O@k P@rk, IL 60301"
1445980001332,Cuco�۪$ M3x!c@& R3$t@ur@&t ,3.0,(608) 571-6530,22,"4426 E Buck3y3 Rd, M@d!$o&, WI 53716"
1445980001333,Cuco�۪$ M3x!c@& R3$t@ur@&t ,3.0,(608) 845-7100,41,"1050 N Ed93 Tr@!l, V3ro&@, WI 53593"
1445980001334,Cuco�۪$ M3x!c@& R3$t@ur@&t ,3.0,(608) 850-6180,9,"350 N C3&tury Av3, W@u&@k33, WI 53597"
1445980001335,Cu!$!&3 Of P@k!$t@& ,3.5,(212) 736-7745,77,"478 9th Av3, N3w York, NY 10018"
1445980001336,Culv3r�۪$ ,4.5,(608) 798-1600,2,"2535 M@!& St, Cro$$ Pl@!&$, WI 53528"
1445980001337,Culv3r�۪$ ,3.0,(608) 244-0808,10,"4301 E Tow&3 Blvd, M@d!$o&, WI 53704"
1445980001338,Culv3r�۪$ ,3.5,(608) 268-0211,11,"4401 Cott@93 Grov3 Rd, M@d!$o&, WI 53716"
1445980001339,Culv3r�۪$ ,3.0,(608) 242-7731,8,"1325 Northport Dr, M@d!$o&, WI 53704"
1445980001340,Culv3r�۪$ ,4.0,(608) 274-1221,30,"2102 W B3ltl!&3 Hwy, M@d!$o&, WI 53713"
1445980001341,Culv3r�۪$ ,4.5,(608) 836-5577,17,"2906 P@rm3&t3r St, M!ddl3to&, WI 53562"
1445980001342,Culv3r�۪$ ,3.5,(608) 845-2010,14,"430 E V3ro&@ Av3, V3ro&@, WI 53593"
1445980001343,Cup & Cup ,4.5,(646) 398-9990,145,"15 E 31$t St, N3w York, NY 10016"
1445980001344,Cup & Spoo& ,4.5,(773) 697-4421,68,"2415 W North Av3, Ch!c@9o, IL 60647"
1445980001345,Cupc@k3 Cou&t3r ,3.5,(312) 422-0800,145,"229 W M@d!$o& St, Ch!c@9o, IL 60606"
1445980001346,Cupc@k3$,4.0,(608) 836-3400,68,"6642 M!&3r@l Po!&t Rd, M@d!$o&, WI 53705"
1445980001347,Cup!d C@&d!3$ ,4.0,(708) 423-2729,26,"4707 W 95th St, O@k L@w&, IL 60453"
1445980001348,Cupp!&9 Room C@f3 ,3.5,(212) 925-2898,393,"359 W Bro@dw@y, N3w York, NY 10013"
1445980001349,Curry !& th3 Box ,3.5,(608) 273-9100,58,"3050 C@h!ll M@!&, F!tchbur9, WI 53711"
1445980001350,Curry !& th3 Box ,4.0,(608) 238-1900,33,"3519 U&!v3r$!ty Av3, M@d!$o&, WI 53705"
1445980001351,Curry K!&9 ,4.5,(323) 982-7267,32,"2830 Fl3tch3r Dr., Lo$ A&93l3$, CA 90039"
1445980001352,Curry L3@f ,4.5,(415) 440-4293,220,"943 Columbu$ Av3, S@& Fr@&c!$co, CA 94133"
1445980001353,Cyb3ll3�۪$ P!zz@ & Ic3 Cr3@m ,4.0,(415) 885-6830,785,"1000 Bu$h St, S@& Fr@&c!$co, CA 94109"
1445980001354,D B.'$ r3v!3w of Buz,4.0,(415) 592-9958,79,"3420 G3@ry Blvd, S@& Fr@&c!$co, CA 94118"
1445980001355,D b.'$ r3v!3w of Port3&o R3$t@ur@&,4.5,(212) 695-9694,212,"299 10th Av3, N3w York, NY 10001"
1445980001356,D K.'$ r3v!3w of DuP@93 I&& B@r @&d Gr!l,3.5,(630) 963-2565,47,"2410 O9d3& Av3, Dow&3r$ Grov3, IL 60515"
1445980001357,D�۪@b$olut3 C@t3r!&9 ,4.5,(773) 282-6106,69,"5106 W Irv!&9 P@rk Rd, Ch!c@9o, IL 60641"
1445980001358,D�۪A9o$t!&o�۪$ P!zz@ @&d Pub ,3.0,(312) 850-3247,171,"752 N O9d3& Av3, Ch!c@9o, IL 60642"
1445980001359,D@ C@po Ap3r!t!vo E C@ff̬ ,5.0,(646) 707-0684,70,"1392 M@d!$o& Av3, N3w York, NY 10029"
1445980001360,D@ Mu&ch Box ,4.0,(310) 658-8743,13,"Lo$ A&93l3$, CA"
1445980001361,D@ No! ,4.0,(347) 964-4735,65,"214 E 49th St, N3w York, NY 10017"
1445980001362,D@ P@$qu@l3 R3$t@ur@&t ,4.0,(310) 859-3884,434,"9749 S S@&t@ Mo&!c@ Blvd, B3v3rly H!ll$, CA 90210"
1445980001363,DADAM ,5.0,(917) 375-9226,16,"11 W3$t 32&d St, N3w York, NY 10001"
1445980001364,D@3 Bok R3$t@ur@&t ,3.5,(213) 386-6660,69,"2010 J@m3$ M Wood Blvd, Lo$ A&93l3$, CA 90006"
1445980001365,D@ffod!l P@rk3r ,5.0,(608) 663-2100,13,"544 W. W@$h!&9to&, M@d!$o&, WI 53703"
1445980001366,D@hm3&�۪$ P!zz@ Pl@c3 ,3.5,(608) 829-3005,18,"6654 M!&3r@l Po!&t Rd, M@d!$o&, WI 53705"
1445980001367,D@hm3&�۪$ P!zz@ Pl@c3 ,3.5,(608) 829-3005,18,"6654 M!&3r@l Po!&t Rd, M@d!$o&, WI 53705"
1445980001368,D@!kokuy@ ,4.0,(213) 626-1680,6183,"327 E 1$t St, Lo$ A&93l3$, CA 90012"
1445980001369,D@!kokuy@ ,4.0,(310) 575-4999,726,"2208 S@wt3ll3 Blvd, Lo$ A&93l3$, CA 90064"
1445980001370,D@!ly B@r & Gr!ll ,3.5,(773) 561-6198,342,"4560 N L!&col& Av3, Ch!c@9o, IL 60625"
1445980001371,D@!ry Qu33& ,4.0,(608) 833-2080,2,"7860 M!&3r@l Po!&t Rd, M@d!$o&, WI 53717"
1445980001372,D@!ryl@&d F@m!ly R3$t@ur@&t ,3.0,(608) 222-9232,14,"716 Cott@93 Grov3 Rd, M@d!$o&, WI 53716"
1445980001373,D@!$y C@f3 @&d Cupc@k3ry ,4.0,(608) 241-2200,175,"2827 Atwood Av3, M@d!$o&, WI 53704"
1445980001374,D@!$y C@f3 @&d Cupc@k3ry ,4.0,(608) 241-2200,174,"2827 Atwood Av3, M@d!$o&, WI 53704"
1445980001375,D@l3 B.'$ r3v!3w of Arbo,5.0,(312) 866-0795,20,"2545 W D!v3r$3y Av3, Ch!c@9o, IL 60647"
1445980001376,D@ly�۪$ B@r & Gr!ll ,3.5,(608) 837-6016,12,"1086 Em3r@ld T3r, Su& Pr@!r!3, WI 53590"
1445980001377,D@m3& North D3&t@l Group ,4.5,(773) 227-1048,72,"1725 W North Av3, Ch!c@9o, IL 60622"
1445980001378,D@& K.'$ r3v!3w of Gr@z,4.0,(608) 251-2700,575,"1 S P!&ck&3y St, M@d!$o&, WI 53703"
1445980001379,D@& Su&9 S@ ,4.0,(213) 487-9100,497,"3317 W 6th St, Lo$ A&93l3$, CA 90020"
1445980001380,D@&�۪$ T@ckl3 S3rv!c3 ,5.0,(773) 276-5562,8,"2237 W McL3@& Av3, Ch!c@9o, IL 60647"
1445980001381,D@&d3l!o& ,5.0,(415) 436-9500,88,"55 Potr3ro Av3, S@& Fr@&c!$co, CA 94103"
1445980001382,D@&93r Do9$ ,4.5,1445980000000,18,"415 W 8th St, Lo$ A&93l3$, CA 90006"
1445980001383,D@&!3l G3or93 Cu$tom Su!t$ ,5.0,(312) 525-1819,40,"155 N M!ch!9@& Av3, Ch!c@9o, IL 60601"
1445980001384,D@&!3l�۪$ C@f3 ,4.0,(415) 956-1760,155,"154 Ell!$ St, S@& Fr@&c!$co, CA 94102"
1445980001385,D@rb@r Gr!ll ,4.0,(212) 751-4600,318,"157 E 55th St, N3w York, NY 10022"
1445980001386,D@rl3&3�۪$ O&3 Stop Shop ,,(773) 810-9461,0,"1852 S Av3r$ Av3, Ch!c@9o, IL 60623"
1445980001387,D@rr3& B.'$ r3v!3w of Pop3y3,1.0,(608) 249-9000,1,"5901 Hwy 51, M@d!$o&, WI 53704"
1445980001388,D@rw!& C@f3 ,4.0,(415) 800-8668,487,"212 R!tch St, S@& Fr@&c!$co, CA 94107"
1445980001389,D@v@&t! E&ot3c@ ,4.0,(312) 226-5550,933,"1359 W T@ylor St, Ch!c@9o, IL 60607"
1445980001390,D@v3 J.'$ r3v!3w of Copp3r Top R3$t@ur@&,3.0,(608) 271-4588,21,"5401 W B3ltl!&3 Hwy, M@d!$o&, WI 53711"
1445980001391,D@v!d Dow ,,(608) 233-3588,0,"1 Block Off M!&3r@l Pt, M@d!$o&, WI 53703"
1445980001392,D@v!d K.'$ r3v!3w of Su9o! Su$h,4.0,(415) 401-8442,234,"1152 V@l3&c!@ St, S@& Fr@&c!$co, CA 94110"
1445980001393,D@v!d P.'$ r3v!3w of Fl@t Top Gr!l,3.0,(608) 236-0500,93,"538 N M!dv@l3 Blvd, M@d!$o&, WI 53705"
1445980001394,D@v!d R.'$ r3v!3w of M!ch@3l'$ Pu,3.0,(818) 980-9762,18,"11506 Ox&@rd St, North Hollywood, CA 91606"
1445980001395,D@v!d�۪$ J@m@!c@& Cu!$!&3 ,4.0,(608) 222-8109,42,"5734 Mo&o&@ Dr, Mo&o&@, WI 53716"
1445980001396,DAVID$TEA ,4.5,(773) 697-9737,79,"1645A N D@m3& Av3, Ch!c@9o, IL 60647"
1445980001397,D@w@l! M3d!t3rr@&3@& K!tch3& ,4.5,(312) 944-5800,357,"1625 N H@l$t3d St, Ch!c@9o, IL 60614"
1445980001398,D@y Br3@k C@f3 ,,(608) 257-2233,0,"1 W W!l$o& St, M@d!$o&, WI 53702"
1445980001399,D3 Af9h@&@& K@bob Hou$3 ,4.5,(415) 851-3916,213,"1035 G3@ry St, S@& Fr@&c!$co, CA 94109"
1445980001400,d3 Qu@y ,4.5,(872) 206-8820,52,"2470 N L!&col& Av3, Ch!c@9o, IL 60614"
1445980001401,D3@k�۪$ Pub @&d Gr!ll ,4.0,(608) 873-4066,17,"1017 Ny9@@rd St, Stou9hto&, WI 53589"
1445980001402,D3@& H3@lth Sy$t3m M@d!$o& Ar3@ Cl!&!c$ ,,(608) 282-2000,0,"1025 R393&t St, M@d!$o&, WI 53715"
1445980001403,D3@& Opt!c@l ,,(608) 282-2200,0,"1025 R393&t St, M@d!$o&, WI 53715"
1445980001404,D3@r Bu$hw!ck ,4.0,(929) 234-2344,143,"41 W!l$o& Av3, Brookly&, NY 11237"
1445980001405,D3@r Mom ,3.5,(415) 644-8445,311,"2700 16th St, S@& Fr@&c!$co, CA 94103"
1445980001406,D3cc@& Sp!c3 ,3.5,(201) 604-1772,115,"771 N3w@rk Av3, J3r$3y C!ty, NJ 07306"
1445980001407,D3cl@&�۪$ Ir!$h Pub ,3.5,(312) 642-5522,95,"1240 N W3ll$ St, Ch!c@9o, IL 60610"
1445980001408,D3for3$t F@m!ly R3$t@ur@&t ,3.5,(608) 846-6910,25,"505 W North St, D3 For3$t, WI 53532"
1445980001409,D3!dr3 H.'$ r3v!3w of Su$h! K!yo&,4.0,(310) 205-3741,147,"255 S B3v3rly Dr, B3v3rly H!ll$, CA 90212"
1445980001410,D3k@lb R3$t@ur@&t ,4.0,(347) 857-7097,64,"564 D3k@lb Av3, Brookly&, NY 11205"
1445980001411,D3l R3y K!tch3& ,4.5,(310) 822-7788,213,"12740 Culv3r Blvd, Lo$ A&93l3$, CA 90066"
1445980001412,D3l S3oul ,4.0,(773) 248-4227,1359,"2568 N Cl@rk St, Ch!c@9o, IL 60614"
1445980001413,D3l@&c3y Str33t R3$t@ur@&t ,4.0,(415) 512-5179,1163,"600 Th3 Emb@rc@d3ro, S@& Fr@&c!$co, CA 94107"
1445980001414,D3l@&3y Ch!ck3& ,4.0,(718) 701-8909,17,"230 P@rk Av3, N3w York, NY 10169"
1445980001415,D3l@&3y�۪$ St3@k$ @&d S3@food ,4.0,(608) 833-7337,40,"449 Gr@&d C@&yo& Dr, M@d!$o&, WI 53719"
1445980001416,D3l@ro$@ ,4.0,(415) 673-7100,984,"2175 Ch3$t&ut St, S@& Fr@&c!$co, CA 94123"
1445980001417,D3l@ro$@ ,4.5,(415) 872-7363,11,"37 Y3rb@ Bu3&@ L&, S@& Fr@&c!$co, CA 94103"
1445980001418,D3lb3�۪$ Cor&3r C@f3 ,4.0,(847) 424-1006,29,"1100 D@v!$ St, Ev@&$to&, IL 60201"
1445980001419,D3lf!&@ ,4.0,(415) 552-4055,1680,"3621 18th St, S@& Fr@&c!$co, CA 94110"
1445980001420,D3l!,4.5,(213) 388-3451,64,"3456 1/2 W!l$h!r3 Blvd, Lo$ A&93l3$, CA 90010"
1445980001421,D3l! Bo@rd ,4.5,(415) 552-7687,877,"1058 Fol$om St, S@& Fr@&c!$co, CA 94103"
1445980001422,D3l!c!ou$ D!m Sum ,4.0,(415) 781-0721,561,"752 J@ck$o& St, S@& Fr@&c!$co, CA 94133"
1445980001423,D3ll@ T3rr@ ,4.0,(323) 933-7675,313,"7675 B3v3rly Blvd, Lo$ A&93l3$, CA 90036"
1445980001424,D3lp!9ol ,,1445980000000,0,"23 M!ddl3 Av3, Ch!c@9o, IL 60686"
1445980001425,D3&&y�۪$ ,2.5,(608) 833-7070,13,"433 S G@mmo& Rd, M@d!$o&, WI 53719"
1445980001426,D3r R@th$k3ll3r ,3.5,(608) 262-7324,28,"800 L@&9do& St, M@d!$o&, WI 53706"
1445980001427,D3rm@tolo9y & A3$th3t!c$ of W!ck3r P@rk ,3.5,(773) 276-1100,181,"1765 N El$to& Av3, Ch!c@9o, IL 60642"
1445980001428,D3S@&o P!zz@ B@k3ry ,4.5,(323) 913-7000,386,"4959 S@&t@ Mo&!c@ Blvd, Lo$ A&93l3$, CA 90029"
1445980001429,D3$&ud@ ,4.5,(718) 387-0563,120,"221 S 1$t St, Brookly&, NY 11211"
1445980001430,D3$p@̱@ ,4.5,(212) 219-5050,343,"408 Broom3 St, N3w York, NY 10013"
1445980001431,D3$t!&o ,4.0,(415) 552-4451,1071,"1815 M@rk3t St, S@& Fr@&c!$co, CA 94103"
1445980001432,D3xt3r�۪$ Pub ,3.5,(608) 244-3535,72,"301 North St, M@d!$o&, WI 53704"
1445980001433,Dh@b@ I&d!@& B!$tro ,4.5,(608) 203-8822,109,"8333 Gr33&w@y Blvd, M!ddl3to&, WI 53562"
1445980001434,D!@lo9 C@f3 ,4.5,(310) 289-1630,478,"8766 Hollow@y Dr, W3$t Hollywood, CA 90069"
1445980001435,D!@mo&d C@f3 ,4.5,(415) 655-3674,61,"751 D!@mo&d St, S@& Fr@&c!$co, CA 94114"
1445980001436,D!@mo&d J!m�۪$ I$@b3ll@ Qu33& ,,(608) 741-0700,0,"6530 S US Hwy 51, B3lo!t, WI 53511"
1445980001437,D!@&3 R.'$ r3v!3w of Ch@ Ch@ Ch,4.0,(415) 386-7670,2624,"1801 H@!9ht St, S@& Fr@&c!$co, CA 94117"
1445980001438,D!ck3y�۪$ B@rb3cu3 P!t ,3.5,(608) 249-4205,27,"4833 A&&@m@rk Dr, M@d!$o&, WI 53704"
1445980001439,D!ck3y�۪$ B@rb3cu3 P!t ,3.5,(608) 827-9000,15,"8225 Gr33&w@y Blvd, M!ddl3to&, WI 53562"
1445980001440,D!9 & S@v3 Outl3t ,4.5,(608) 250-6370,7,"1900 S P@rk St, M@d!$o&, WI 53713"
1445980001441,D!99!ty D!99!ty Do9 ,2.0,1445980000000,1,"Bry@&t P@rk, N3w York, NY 10018"
1445980001442,D!ko�۪$ B@r & Gr!ll3 ,,1445980000000,0,"536 South St, L!$l3, IL 60532"
1445980001443,D!l,4.5,(212) 647-9428,125,"170 9th Av3, N3w York, NY 10011"
1445980001444,D!m Sum Club ,4.0,(415) 529-2615,98,"2550 V@& N3$$ Av3, S@& Fr@&c!$co, CA 94109"
1445980001445,D!m3&$!o&@l D3$!9&$ ,5.0,(415) 788-0138,1,"1845 Stocko& St, S@& Fr@&c!$co, CA 94133"
1445980001446,D!mo�۪$ P!zz@ ,4.0,(773) 525-4580,684,"3463 N Cl@rk St, Ch!c@9o, IL 60657"
1445980001447,D!&o�۪$ Bur93r$ ,4.0,(323) 223-1843,273,"2817 N M@!& St, Lo$ A&93l3$, CA 90031"
1445980001448,D!&o�۪$ Ch!ck3& @&d Bur93r$ ,4.5,(213) 380-3554,1392,"2575 W P!co Blvd, Lo$ A&93l3$, CA 90006"
1445980001449,D!&o$@ur$ ,4.0,(650) 557-1421,152,"50 Eur3k@ Dr, P@c!f!c@, CA 94044"
1445980001450,D!&o$@ur$ ,4.0,(415) 503-1421,677,"2275 M@rk3t St, S@& Fr@&c!$co, CA 94114"
1445980001451,D!&o$@ur$ V!3t&@m3$3 S@&dw!ch3$ ,4.0,(415) 701-1421,39,"18 Bo@rdm@& Pl, S@& Fr@&c!$co, CA 94103"
1445980001452,D!&o$@ur$ V!3t&@m3$3 S@&dw!ch3$ ,4.0,(415) 334-1421,381,"2522 Oc3@& Av3, S@& Fr@&c!$co, CA 94132"
1445980001453,D!o&3 D.'$ r3v!3w of C@f3 T@llul@,3.5,(212) 209-1055,176,"240 Columbu$ Av3, N3w York, NY 10023"
1445980001454,D!rt Do9 ,4.5,(213) 749-1813,263,"2528 S F!9u3ro@ St, Lo$ A&93l3$, CA 90007"
1445980001455,D!rty H@b!t ,4.0,(415) 348-1555,243,"12 4th St, S@& Fr@&c!$co, CA 94103"
1445980001456,D!rty W@t3r ,3.5,(888) 393-0530,69,"1355 M@rk3t St, S@& Fr@&c!$co, CA 94103"
1445980001457,D!Sotto E&ot3c@ ,4.5,(312) 482-8727,136,"200 E Ch3$t&ut St, Ch!c@9o, IL 60611"
1445980001458,D!$t!ll3d ,4.0,(212) 601-9514,403,"211 W Bro@dw@y, N3w York, NY 10013"
1445980001459,D!$tr!ct ,3.5,(415) 896-2120,906,"216 Tow&$3&d St, S@& Fr@&c!$co, CA 94107"
1445980001460,D!$tr!ct M ,4.5,(212) 869-3600,27,"700 8th Av3, N3w York, NY 10036"
1445980001461,D!$tr!ct Pub NoHo ,4.5,(818) 732-7319,294,"5249 L@&k3r$h!m Blvd, North Hollywood, CA 91601"
1445980001462,D!$tr!ct Pub NoHo ,4.5,(818) 732-7319,294,"5249 L@&k3r$h!m Blvd, North Hollywood, CA 91601"
1445980001463,Dj Fou&d@t!o& ,,(608) 442-6054,0,"605 P!&chot Av3, M@d!$o&, WI 53716"
1445980001464,DJ�۪$ B!$tro ,4.5,(925) 825-3277,228,"1825 Sutt3r St, Co&cord, CA 94520"
1445980001465,DLUX ,4.0,(608) 467-3130,234,"117 M@rt!& Luth3r K!&9 Jr Blvd, M@d!$o&, WI 53703"
1445980001466,Dobh@&�۪$ K!tch3& ,3.5,(608) 242-4448,49,"2110 Atwood Av3, M@d!$o&, WI 53774"
1445980001467,Doc B�۪$ ,4.5,(312) 999-9300,171,"55 E Gr@&d Av3, Ch!c@9o, IL 60611"
1445980001468,Doc B�۪$ Fr3$h K!tch3& ,4.5,(312) 626-1300,247,"100 E W@lto& St, Ch!c@9o, IL 60611"
1445980001469,Doc R!ck3tt$ ,4.5,(415) 649-6191,73,"124 Columbu$ Av3, S@& Fr@&c!$co, CA 94133"
1445980001470,Docum3&t Coff33 B@r ,4.5,1445980000000,181,"3850 W!l$h!r3 Blvd, Lo$ A&93l3$, CA 90010"
1445980001471,Do9 C!ty ,5.0,(212) 244-3647,10,"450 W 42&d St, N3w York, NY 10036"
1445980001472,Do9 H@u$ U&!v3r$!ty ,5.0,(608) 515-8255,5,"825 E Joh&$o& St, M@d!$o&, WI 53703"
1445980001473,DoIT T3ch Stor3 ,5.0,(608) 265-7469,1,"1210 W D@yto& St, M@d!$o&, WI 53715"
1445980001474,Dok Dok Ch!ck3& ,4.0,(213) 351-9963,49,"401 S V3rmo&t Av3, Lo$ A&93l3$, CA 90020"
1445980001475,Dolc3 Amor3 ,4.0,(415) 674-7716,265,"1477 V@& N3$$ Av3, S@& Fr@&c!$co, CA 94109"
1445980001476,Dolo ,4.0,(331) 481-6879,84,"2222 S Arch3r Av3, Ch!c@9o, IL 60616"
1445980001477,Dom!&o�۪$ P!zz@ ,2.5,(608) 255-2222,13,"409 W Gorh@m St, M@d!$o&, WI 53703"
1445980001478,Dom!&o�۪$ P!zz@ ,1.0,(608) 222-2800,1,"4680 Cott@93 Grov3 Rd, M@d!$o&, WI 53716"
1445980001479,Dom!&o�۪$ P!zz@ ,3.0,(608) 825-3200,4,"1585 W M@!& St, Su& Pr@!r!3, WI 53590"
1445980001480,Domo ,4.0,(415) 861-8887,699,"511 L@9u&@ St, S@& Fr@&c!$co, CA 94102"
1445980001481,Do& K3rkhof Im@93work$ Photo9r@phy ,,(608) 516-3855,0,"523 Eu93&!@ Av3, M@d!$o&, WI 53705"
1445980001482,Do& P!$to�۪$ ,4.5,(415) 395-0939,1287,"510 U&!o& St, S@& Fr@&c!$co, CA 94133"
1445980001483,Do& th3 C@r C@r3 M@& ,3.0,(608) 467-0602,2,"2008 U&!v3r$!ty Av3, M@d!$o&, WI 53726"
1445980001484,Do&�۪t T3ll M@m@ ,3.5,(212) 757-0788,228,"343 W 46th St, N3w York, NY 10036"
1445980001485,Do&@ N@ty�۪$ T@co$ ,4.0,(312) 243-2209,131,"1815 W Ch!c@9o Av3, Ch!c@9o, IL 60622"
